,current_state,go_in_elevator_time,go_out_elevator_time,goin_duration,goin_rollback_duration,goout_duration,robot_id,trip_id,date
113,go out elevator,2020-01-19 15:36:21.826,2020-01-19 15:36:46.876,14.264,,7.317,EVT6-2-22,24,2020-01-19 15:36:21.826
114,go out elevator,2020-01-19 15:39:11.366,2020-01-19 15:39:37.416,15.12,,7.496,EVT6-2-22,25,2020-01-19 15:39:11.366
115,go out elevator,2020-01-19 15:41:36.656,2020-01-19 15:42:03.716,16.526,,8.127,EVT6-2-22,26,2020-01-19 15:41:36.656
116,go in elevator,2020-01-19 15:46:48.554,,,59.911,,EVT6-2-22,27,2020-01-19 15:46:48.554
117,go out elevator,2020-01-19 15:53:20.355,2020-01-19 15:53:44.403,13.457,,7.215,EVT6-2-22,27,2020-01-19 15:53:20.355
118,go out elevator,2020-01-19 15:55:31.743,2020-01-19 15:56:00.816,18.587,,8.459,EVT6-2-22,28,2020-01-19 15:55:31.743
119,go in elevator,2020-01-19 15:59:22.192,,,19.568,,EVT6-2-22,29,2020-01-19 15:59:22.192
120,go in elevator,2020-01-19 16:02:13.519,,,6.18,,EVT6-2-22,29,2020-01-19 16:02:13.519
121,go out elevator,2020-01-19 16:04:00.761,2020-01-19 16:04:30.823,17.033,,7.272,EVT6-2-22,29,2020-01-19 16:04:00.761
122,go out elevator,2020-01-19 16:07:12.162,2020-01-19 16:07:40.214,17.661,,8.667,EVT6-2-22,30,2020-01-19 16:07:12.162
123,go out elevator,2020-01-19 16:11:15.588,2020-01-19 16:11:40.638,14.574,,7.436,EVT6-2-22,31,2020-01-19 16:11:15.588
124,go out elevator,2020-01-19 16:17:09.323,2020-01-19 16:17:37.387,17.575,,8.39,EVT6-2-22,32,2020-01-19 16:17:09.323
125,go out elevator,2020-01-19 16:31:37.752,2020-01-19 16:32:01.805,13.3,,7.266,EVT6-2-22,34,2020-01-19 16:31:37.752
126,go out elevator,2020-01-19 16:35:03.107,2020-01-19 16:35:27.186,13.725999999999999,,7.509,EVT6-2-22,35,2020-01-19 16:35:03.107
127,go out elevator,2020-01-19 16:37:55.508,2020-01-19 16:38:19.556,13.588,,7.663,EVT6-2-22,36,2020-01-19 16:37:55.508
128,go out elevator,2020-01-19 16:41:41.958,2020-01-19 16:42:06.050,13.407,,9.391,EVT6-2-22,37,2020-01-19 16:41:41.958
129,go in elevator,2020-01-19 16:44:36.311,,,4.743,,EVT6-2-22,38,2020-01-19 16:44:36.311
130,go in elevator,2020-01-19 16:45:57.435,,,16.321,,EVT6-2-22,38,2020-01-19 16:45:57.435
131,go out elevator,2020-01-19 16:47:23.584,2020-01-19 16:47:46.631,13.153,,7.962,EVT6-2-22,38,2020-01-19 16:47:23.584
132,go out elevator,2020-01-19 16:49:53.853,2020-01-19 16:50:17.891,13.727,,7.398,EVT6-2-22,39,2020-01-19 16:49:53.853
133,go out elevator,2020-01-19 16:53:47.298,2020-01-19 16:54:18.342,14.239,,10.441,EVT6-2-22,40,2020-01-19 16:53:47.298
134,go out elevator,2020-01-19 16:56:56.788,2020-01-19 16:57:25.851,13.799,,10.696,EVT6-2-22,41,2020-01-19 16:56:56.788
135,go out elevator,2020-01-19 14:46:58.330,2020-01-19 14:47:34.266,18.361,,8.208,EVT6-2-24,0,2020-01-19 14:46:58.330
136,go out elevator,2020-01-19 14:51:07.325,2020-01-19 14:51:41.650,19.817,,7.76,EVT6-2-24,1,2020-01-19 14:51:07.325
137,go out elevator,2020-01-19 15:22:07.484,2020-01-19 15:22:54.752,16.938,,7.622,EVT6-2-24,2,2020-01-19 15:22:07.484
138,go out elevator,2020-01-19 15:35:56.281,2020-01-19 15:36:36.325,21.447,,8.475,EVT6-2-24,3,2020-01-19 15:35:56.281
139,go out elevator,2020-01-19 16:00:38.996,2020-01-19 16:01:04.056,14.813,,10.496,EVT6-2-3,0,2020-01-19 16:00:38.996
140,go out elevator,2020-01-19 16:06:59.345,2020-01-19 16:07:25.393,15.744,,10.798,EVT6-2-3,1,2020-01-19 16:06:59.345
141,go out elevator,2020-01-19 16:18:46.947,2020-01-19 16:19:35.035,14.62,,12.18,EVT6-2-3,2,2020-01-19 16:18:46.947
142,go out elevator,2020-01-19 16:28:24.566,2020-01-19 16:28:54.622,15.193,,10.511,EVT6-2-3,3,2020-01-19 16:28:24.566
143,go out elevator,2020-01-19 16:52:44.150,2020-01-19 16:53:15.220,14.466,,8.87,EVT6-2-3,4,2020-01-19 16:52:44.150
144,go out elevator,2020-01-19 17:02:56.109,2020-01-19 17:03:24.164,13.53,,8.273,EVT6-2-3,5,2020-01-19 17:02:56.109
145,go out elevator,2020-01-19 17:25:43.589,2020-01-19 17:26:16.668,13.872,,10.273,EVT6-2-3,6,2020-01-19 17:25:43.589
146,go out elevator,2020-01-19 14:15:03.587,2020-01-19 14:15:29.651,14.894,,9.093,,0,2020-01-19 14:15:03.587
147,go out elevator,2020-01-19 14:20:24.910,2020-01-19 14:20:52.960,21.266,,10.749,,1,2020-01-19 14:20:24.910
148,go out elevator,2020-01-19 14:23:49.257,2020-01-19 14:24:13.311,13.711,,10.397,,2,2020-01-19 14:23:49.257
149,go out elevator,2020-01-19 14:25:57.436,2020-01-19 14:26:18.485,13.297,,10.205,,3,2020-01-19 14:25:57.436
150,go out elevator,2020-01-19 14:29:12.651,2020-01-19 14:29:37.707,14.568999999999999,,11.193,,4,2020-01-19 14:29:12.651
151,go out elevator,2020-01-19 14:30:54.788,2020-01-19 14:31:19.833,14.143,,9.685,,5,2020-01-19 14:30:54.788
152,go out elevator,2020-01-19 14:33:08.103,2020-01-19 14:33:33.148,14.439,,11.964,,6,2020-01-19 14:33:08.103
153,go out elevator,2020-01-19 14:35:13.307,2020-01-19 14:35:38.343,14.176,,9.742,,7,2020-01-19 14:35:13.307
154,go out elevator,2020-01-19 14:37:10.445,2020-01-19 14:37:35.706,14.22,,11.175,,8,2020-01-19 14:37:10.445
155,go out elevator,2020-01-19 14:38:52.806,2020-01-19 14:39:18.851,14.543,,9.134,,9,2020-01-19 14:38:52.806
156,go out elevator,2020-01-19 14:40:41.947,2020-01-19 14:41:06.990,14.112,,12.458,,10,2020-01-19 14:40:41.947
157,go out elevator,2020-01-19 14:42:22.085,2020-01-19 14:42:48.132,14.561,,9.192,,11,2020-01-19 14:42:22.085
158,go out elevator,2020-01-19 14:44:12.242,2020-01-19 14:44:37.341,13.813,,11.358,,12,2020-01-19 14:44:12.242
159,go out elevator,2020-01-19 14:45:49.436,2020-01-19 14:46:14.489,14.496,,9.937,,13,2020-01-19 14:45:49.436
160,go out elevator,2020-01-19 14:47:26.584,2020-01-19 14:47:51.634,14.088,,10.837,,14,2020-01-19 14:47:26.584
161,go out elevator,2020-01-19 14:49:06.728,2020-01-19 14:49:32.309,14.132,,9.341,,15,2020-01-19 14:49:06.728
162,go in elevator,2020-01-19 14:51:17.406,,,3.266,,,16,2020-01-19 14:51:17.406
163,go out elevator,2020-01-19 14:52:08.533,2020-01-19 14:52:33.577,13.768,,10.552,,16,2020-01-19 14:52:08.533
164,go out elevator,2020-01-19 14:53:35.654,2020-01-19 14:54:00.705,14.336,,10.055,,17,2020-01-19 14:53:35.654
165,go out elevator,2020-01-19 14:55:25.798,2020-01-19 14:55:49.845,13.38,,10.894,,18,2020-01-19 14:55:25.798
166,go out elevator,2020-01-19 14:56:56.945,2020-01-19 14:57:22.993,14.662,,9.221,,19,2020-01-19 14:56:56.945
167,go out elevator,2020-01-19 14:59:05.179,2020-01-19 14:59:46.244,14.728,,11.058,,20,2020-01-19 14:59:05.179
168,go out elevator,2020-01-19 15:01:05.346,2020-01-19 15:01:30.393,13.909,,9.205,,21,2020-01-19 15:01:05.346
169,go out elevator,2020-01-19 15:02:55.551,2020-01-19 15:03:19.599,13.559,,11.217,,22,2020-01-19 15:02:55.551
170,go out elevator,2020-01-19 15:04:36.848,2020-01-19 15:05:02.899,15.128,,10.091,,23,2020-01-19 15:04:36.848
171,go out elevator,2020-01-19 15:06:29.004,2020-01-19 15:06:56.058,14.464,,12.931000000000001,,24,2020-01-19 15:06:29.004
172,go out elevator,2020-01-19 15:07:57.152,2020-01-19 15:08:23.204,14.8,,9.173,,25,2020-01-19 15:07:57.152
173,go out elevator,2020-01-19 15:10:08.417,2020-01-19 15:10:33.459,13.82,,11.312,,26,2020-01-19 15:10:08.417
